Headline,Date,Price movement
Glove makers dominate list of top losers as vaccine roll-out begins,14/12/2020,Up
"In rare media rebuke, Top Glove demands accurate reporting amid Covid-19 flare",13/12/2020,#N/A
Here's what Top Glove has to say about sustaining its super profits,12/12/2020,#N/A
Highest returns to shareholders over three years: SUPER BIG CAP (ABOVE RM40 BILLION MARKET CAPITALISATION): Top Glove Corp Bhd - Analysts still positive on prospects despite vaccine development,12/12/2020,#N/A
Recognising corporate excellence for the 11th year,12/12/2020,#N/A
"JP Morgan pegs these glove makers’ fair value at up to half their market price, says supernormal cycle is over",12/12/2020,#N/A
KLCI closes higher as banking stocks rally amid vaccine-fuelled optimism,11/12/2020,Down
新冠疫苗进展提振 马股大涨30点,11/12/2020,Down
Reprieve for stocks as Covid-19 vaccines spur recovery bets,11/12/2020,Down
"Cymao, AirAsia, Bermaz Auto, Poh Kong, BIMB, Top Glove, UMW, KUB, BLand and 7-Eleven",11/12/2020,Down
Berjaya Land spends RM11m to mop up 7-Eleven shares,10/12/2020,Down
Top Glove chairman’s turn to buy company shares,10/12/2020,Down
EVENING 5: Five things you need to know today,10/12/2020,Down
马股连续三天收高,10/12/2020,Down
"Covid-19: Malaysia hits new record high with 2,234 cases, with 1,428 from Selangor",10/12/2020,Down
FBM KLCI posts third straight day of gains,10/12/2020,Down
环境、社会和治理问题影响顶级手套估值,10/12/2020,Down
ESG issues weigh on Top Glove’s valuations,10/12/2020,Down
分析员上调顶级手套盈测 但维持目标价,10/12/2020,Down
Cover Story: What’s next for Budget 2021 after being passed at the policy stage?,10/12/2020,Down
Analysts raise Top Glove earnings forecasts but maintain TPs,10/12/2020,Down
顶级手套季度净利居十大公司之首,10/12/2020,Down
Top Glove makes the highest quarterly profit among Malaysia's top 10 companies,10/12/2020,Down
Top Glove: Average glove prices to be 30% higher in 2Q,10/12/2020,Down
"TH Plantations, AirAsia, MRCB, Top Glove, KPower, MyEG, Public Bank, G Capital, Cymao and AWC",09/12/2020,Up
顶级手套料巴生厂房将在未来两至三周全面投产,09/12/2020,Up
EVENING 5: Five things you need to know today,09/12/2020,Up
大众银行领涨 提振马股收高,09/12/2020,Up
Top Glove expects Klang factories to be fully operational in next two to three weeks,09/12/2020,Up
Public Bank leads charge among KLCI counters,09/12/2020,Up
季度收益创纪录 顶级手套欲振乏力,09/12/2020,Up
Top Glove shares fail to rise despite record quarterly earnings,09/12/2020,Up
首季净利飙升至23.8亿 顶级手套派息16.5仙,09/12/2020,Up
"Top Glove 1Q net profit surges to RM2.38b, declares 16.5 sen dividend",09/12/2020,Up
EVENING 5: Another bumper quarter for Top Glove,09/12/2020,Up
Bursa Malaysia higher in early trade,09/12/2020,Up
"MAHB, Gamuda, Inix, FGV, Pestech, Public Bank, GDEX, Tasco, AirAsia, Serba Dinamik, G Capital",08/12/2020,Down
EPF continues trimming stake in Top Glove,08/12/2020,Down
手套股掀购兴 马股创18个月新高,08/12/2020,Down
FBM KLCI finishes near 18-month high on greater interest in rubber glove stocks,08/12/2020,Down
马交所主席：若非医疗保健股 综指截至11月将跌11%,08/12/2020,Down
手套股晋升十大上升股,08/12/2020,Down
掀手套及制药股扯购潮 医疗保健指数涨幅高于马股,08/12/2020,Down
"KLCI trails Healthcare Index rise as Covid-19 spurs glove, pharmaceutical share buy",08/12/2020,Down
"Rubber glove counters back in vogue, among top gainers in morning trade",08/12/2020,Down
再创纪录 顶级手套季度净利料破20亿,08/12/2020,Down
Inix falls 13% after new chairman resigned five days into the job,08/12/2020,Down
Top Glove's next record-breaking quarterly profit expected to surge past RM2b,08/12/2020,Down
Supermax rebounds as investors weigh KLCI inclusion news,08/12/2020,Down
"MyEG, Inix, Tropicana, Batu Kawan, CCM, Genting Malaysia, MTD ACPI Engineering, Masteel, Maybank and Yong Tai",08/12/2020,Down
Tropicana director resigns while Bursa queries group about Top Glove share buy,07/12/2020,Up
"EPF disposes of another 7.15m shares in Top Glove, reducing stake to 5.63%",07/12/2020,Up
Rakuten recommends these stocks for 2021,07/12/2020,Up
Covid-19 cuts Top Glove both ways,07/12/2020,Up
"The Week Ahead: Partial lockdown extension in focus, a quiet week for data",07/12/2020,Up
Seeking opportunities in the recovery theme,07/12/2020,Up
Frankly Speaking: Timely or dicey?,07/12/2020,Up
Frankly Speaking: Is the party at Inix over?,07/12/2020,Up
EDGE WEEKLY: ESG becoming mainstream,07/12/2020,Up
BAT and crude oil refiners top this week’s gainers list,05/12/2020,#N/A
ESG becoming mainstream,05/12/2020,#N/A
"Gamuda, Genting Malaysia, MyEG, Widad, Top Glove and Yong Tai",04/12/2020,Down
Covid-19: Eight new clusters confirmed with 104 total infections while four ended,04/12/2020,Down
EVENING 5: Five things you need to know today,04/12/2020,Down
"Top Glove-linked Teratai cluster in Klang reports 62 new cases, pushing tally to 5,156",04/12/2020,Down
再减持 EPF持顶级手套股权降至5.72%,04/12/2020,Down
不敌套利 马股自16个月高位回落,04/12/2020,Down
"KLCI eases from 16-month high amid profit-taking, selldown on glove stocks",04/12/2020,Down
"EPF continues selling Top Glove shares, trimming stake to 5.72%",04/12/2020,Down
"Covid-19: Malaysia logs 1,141 new cases, half from Klang Valley; total now exceeds 70,000",04/12/2020,Down
速柏玛纳入综指股 手套股占综指权重有望排第二,04/12/2020,Down
Glove sector poised to be second largest in KLCI’s weighting with inclusion of Supermax,04/12/2020,Down
Tropicana’s purchase of Top Glove shares raises eyebrows,04/12/2020,Down
"Menang Corp, JF Tech, Serba Dinamik, Ranhill, Supermax, UWC, Astro, Tropicana, Top Glove and SCIB",03/12/2020,Down
EPF continues selling spree in Top Glove shares,03/12/2020,Down
丽阳机构斥7847万购顶级手套股票,03/12/2020,Down
Tropicana buys RM78.47m worth of Top Glove shares,03/12/2020,Down
标普500指数创新高 贺特佳及顶级手套提振马股走势,03/12/2020,Down
"Top Glove, Hartalega offer fillip to Bursa after S&P 500's record high",03/12/2020,Down
CMCO likely to dent corporates' 4Q earnings — HLIB Research,03/12/2020,Down
More than half of top 100 Malaysian companies see higher 3Q profits than last year,03/12/2020,Down
"Sunsuria, Yi-Lai, Ranhill, Bioalpha, Chin Hin Group Property, S P Setia, AWC, UEM Sunrise, EcoWorld, QL Resources, Boilermech, Top Glove, AirAsia X",03/12/2020,Down
Top Glove spent another RM70m to buy back own shares today,02/12/2020,Up
Risk of community infection rises at Top Glove-linked Teratai cluster in Klang — 27 new cases today,02/12/2020,Up
Iconic Worldwide to prove doubters wrong with glove move,02/12/2020,Up
KAF研究：丁腈乳胶本月或创新高 手套生产成本按季涨70％,02/12/2020,Up
"Focus shifts to recovery stocks, analysts mixed on glove counters",02/12/2020,Up
"Nitrile latex could hit all-time high this month, raising glove production costs by 70% q-o-q — KAF Research",02/12/2020,Up
"3Q corporate earnings came in better than expected, says MIDF Research",02/12/2020,Up
政府调查员工宿舍 顶级手套降3.2%,02/12/2020,Up
综指成分股走低 拖累马股挫0.48%,02/12/2020,Up
Top Glove dips 3.2% as govt investigates workers' housing,02/12/2020,Up
KLCI down 0.48% as key index-linked stocks drag,02/12/2020,Up
KLCI falls 0.47% as Petronas and glove maker stocks drag,02/12/2020,Up
UG Healthcare to conduct Covid-19 testing on employees as precautionary measure,01/12/2020,Down
"Covid-19: Top Glove-linked Teratai cluster reports 778 new cases, pushing tally to 5,056",01/12/2020,Down
Vizione to inject RM30m in capex to boost glove business capacity,01/12/2020,Down
EVENING 5: Five things you need to know today,01/12/2020,Down
新冠肺炎：新增1472确诊 逾半来自顶级手套“莲花感染群”,01/12/2020,Down
"Over half of new 1,472 Covid-19 cases from Top Glove-linked Teratai cluster; three more deaths reported",01/12/2020,Down
劳工局：员工宿舍违规 将向顶级手套提控,01/12/2020,Down
MoHR opens 19 investigation papers against companies in Top Glove group after Covid-19 outbreak among workers,01/12/2020,Down
EVENING 5: Investigation papers opened against Top Glove,01/12/2020,Down
Frankly Speaking: Time to wean ourselves off cheap foreign labour,01/12/2020,Down
"Fintec Global 2Q net profit swells to RM720.5 million, how was it achieved?",01/12/2020,Down
EMCO on Top Glove worker dormitories in Klang extended for two weeks to Dec 14,30/11/2020,Down
"Top Glove-linked Teratai cluster reports 18 new cases today, with total now at 4,278",30/11/2020,Down
"Malaysia's new Covid-19 cases stay above 1,000 for fourth straight day, with 402 from Selangor",30/11/2020,Down
KLCI finishes down 44.88 points after final-hour dive,30/11/2020,Down
Gets Global receives takeover offer at less than one quarter of market price from major shareholders,30/11/2020,Down
Time right for share buybacks despite economic downturn,30/11/2020,Down
顶级手套重申致力与当局合作 解决员工住宿问题,30/11/2020,Down
Top Glove reaffirms commitment to working with authorities to resolve workers' housing issue,30/11/2020,Down
These penny stocks put investors on roller-coaster rides,28/11/2020,#N/A
Top Glove: Exercise to improve workers’ living conditions to be completed by December,28/11/2020,#N/A
Top Glove spends RM21m on 14th day of share buyback,27/11/2020,Up
Top Glove spends lower amount on 13th day of share buyback,26/11/2020,Down
Top Glove-linked Teratai cluster reports 30 new cases,26/11/2020,Down
"Covid-19: 935 new cases in Malaysia; total cases exceed 60,000",26/11/2020,Down
KLCI up 14.53 points to end at intraday high after Parliament approves Budget 2021,26/11/2020,Down
"KLCI crosses 1600 points, with eyes on Budget 2021 vote",26/11/2020,Down
蓝筹股走高 马股冲破1600点大关,26/11/2020,Down
"KLCI crosses 1,600-point threshold as select blue chips lift",26/11/2020,Down
手套股带动 马股扭转跌势,26/11/2020,Down
KLCI reverses earlier loss as glove makers lift,26/11/2020,Down
主席称2021财年周息率料逾6% 顶级手套弹升,26/11/2020,Down
Top Glove rises after chairman says FY21 dividend yield estimated to be over 6%,26/11/2020,Down
Top Glove spends RM50m on 12th day of share buyback,26/11/2020,Down
Evening 5: Five things you need to know today,25/11/2020,Up
"No signs of Top Glove-linked Teratai cluster spreading infection to nearby community, says Health D-G",25/11/2020,Up
Top Glove expects EMCO on its workers' dormitories in Klang to be extended by a week,25/11/2020,Up
美股乐观情绪外溢 提振马股升1.22%,25/11/2020,Up
"Dogged by selling pressure, Top Glove again settles in the red",25/11/2020,Up
"Bullish sentiment on Wall Street spills over to Bursa, KLCI climbs 1.22%",25/11/2020,Up
"Malaysia’s new Covid-19 cases drop to 970, recoveries rise to record high of 2,348",25/11/2020,Up
顶级手套主席：料2021财年周息率逾6%,25/11/2020,Up
Top Glove estimates dividend yield to be more than 6% in FY21 — Chairman,25/11/2020,Up
大马橡胶手套制造商协会：关闭厂房不影响手套供应,25/11/2020,Up
关闭厂房影响3%收入 顶级手套续跌惟卖压缓解,25/11/2020,Up
全球股市走高 马股升0.98%,25/11/2020,Up
Top Glove down but selling eases after company says 3% of revenue to be impacted by manufacturing stoppage,25/11/2020,Up
EVENING 5: Top Glove comes under pressure,25/11/2020,Up
"KLCI rises 0.98%, eyes 1,600-point threshold on global equity rally",25/11/2020,Up
全球股市上涨 马股扬0.53%,25/11/2020,Up
"KLCI rises 0.53%, comes out of torpor with global equity rally",25/11/2020,Up
确诊员工飙升 顶级手套市值蒸发120亿回购破10亿,25/11/2020,Up
Top Glove's share buyback tops RM1b as over RM12b market cap wiped off amid rise in Covid-19 cases among workers,25/11/2020,Up
"Berjaya Land, Inari, Hong Leong Industries, AirAsia, ARB, Malakoff, UEM Sunrise, STMKB, Tan Chong Motor, Leong Hup, MyEG, Wah Seong, Omesti and Top Glove",24/11/2020,Down
Top Glove buys back more shares; total amount spent since September rises to RM1.08b,24/11/2020,Down
Covid-19: 119 clusters of infection originate from workplaces,24/11/2020,Down
"Only 3% annual revenue lost from closure of 28 factories, says Top Glove",24/11/2020,Down
"Covid-19: 1,511 new cases at Teratai cluster originate from Top Glove’s dorms, total swells to 4,036",24/11/2020,Down
大马新增2188宗新冠病例创新高 雪州占1623宗,24/11/2020,Down
"Malaysia hits new high of 2,188 Covid-19 cases, with 74% from Selangor",24/11/2020,Down
新冠病例激增及2021年财算案投票 拖累马股回落及逾千只股下跌,24/11/2020,Down
"KLCI retreats, Bursa decliners top 1,000 on Covid-19 resurgence, Budget 2021 vote",24/11/2020,Down
自11月起顶级手套市值蒸发了120亿,24/11/2020,Down
Ex-CEO of glove maker WRP charged with CBT,24/11/2020,Down
Top Glove lost over RM12b in market cap since start of November,24/11/2020,Down
套利盘整及2021年财算案投票 拖累马股挫0.61%,24/11/2020,Down
"KLCI falls 0.61% on profit-taking consolidation, Budget 2021 voting jitters",24/11/2020,Down
银河-联昌：投资者继续转向疫情复苏主题,24/11/2020,Down
巴生28间厂暂关闭 顶级手套跌达7.48%,24/11/2020,Down
2021财算案投票令投资者不安 马股保持低迷,24/11/2020,Down
Top Glove falls as much as 7.48% on temporary disruption to 28 factories in Klang,24/11/2020,Down
KLCI remains lacklustre as Budget 2021 voting keeps investors on tenterhooks,24/11/2020,Down
CGS-CIMB: Investors continue to switch to Covid-19 recovery theme plays,24/11/2020,Down
KLCI opens lower as Top Glove drags on virus-hit factory closure,24/11/2020,Down
"Karex, Tiong Nam, Boustead Plantations, Sime Darby Plantation, Lotus KFM, MESB, Guan Chong, Dayang Enterprise, MRCB, Serba Dinamik, Hextar, Top Glove, TA Enterprise, TA Global, Kanger, Samaiden, Mesiniaga and Maxis",24/11/2020,Down
Top Glove has spent over RM1b on share buy backs since September,23/11/2020,Down
Top Glove confirms temporary shutdown of 28 factories in Meru due to upsurge in Covid-19 cases,23/11/2020,Down
EVENING 5: Five things you need to know today,23/11/2020,Down
"Covid-19: Four new clusters found with 159 total infections, while three end",23/11/2020,Down
"Covid-19: Teratai cluster linked to Top Glove workers has positive rate of 43.8%, 1,067 new confirmed cases today",23/11/2020,Down
新冠病例激增 顶级手套证实暂时关闭巴生中路28间厂房,23/11/2020,Down
"Covid-19: Malaysia sees record 1,884 new cases; Selangor climbs to fresh high of 1,203",23/11/2020,Down
顶级手套爆发新冠肺炎 政府将分阶段关闭一些厂房,23/11/2020,Down
EPF wants brokerages to focus on ESG,23/11/2020,Down
"Recovery theme emerging, but volatility remains",23/11/2020,Down
EVENING 5: Top Glove confirms factory shutdowns,23/11/2020,Down
顶级手套连续第二年列道琼斯永续发展新兴市场指数,23/11/2020,Down
Top Glove listed on Dow Jones Sustainability Index for second year,23/11/2020,Down
"KLCI pares gains, hovers just shy of 1,600-mark",23/11/2020,Down
外资上周净卖增至2.69亿,23/11/2020,Down
"Foreign selling ticked up to RM268.9m last week, says Bank Islam",23/11/2020,Down
"KLCI extends gains as Public Bank, glove makers lift",23/11/2020,Down
"Teratai cluster linked to Top Glove dormitories records almost 1,500 Covid-19 cases — MoH",22/11/2020,#N/A
Covid-19: Three new clusters emerge while four end,22/11/2020,#N/A
"Malaysia reports 1,096 new Covid-19 cases; Selangor cases spike to fresh high of 603",22/11/2020,#N/A
"Covid-19: Malaysia reports 1,041 new cases; Selangor the biggest contributor with 402 infections",21/11/2020,#N/A
"Despite blue chip rush, retail interest in penny stocks still dominates the market",21/11/2020,#N/A
"Rubberex, Hartalega, Top Glove, InNature, CSC, Tropicana, Perdana Petroleum, Maxis and AAX",21/11/2020,#N/A
Top Glove spends nearly RM1b on share buybacks since September,20/11/2020,Up
EVENING 5: Five things you need to know today,20/11/2020,Up
新冠病例攀升刺激手套股买盘 马股终止二连跌,20/11/2020,Up
KLCI snaps 2-day losing streak as Covid-19 rise spurs glove share buy,20/11/2020,Up
Rubberex 3Q net profit surges 13 times amid strong nitrile glove demand,20/11/2020,Up
手套股提振 马股扬0.82%,20/11/2020,Up
KLCI rises 0.82% as index-linked glove makers lift,20/11/2020,Up
新冠病例上升 刺激手套股走高,20/11/2020,Up
Glove stocks up as Covid-19 rise checks vaccine-driven optimism,20/11/2020,Up
Vivocom sparks deja vu again,20/11/2020,Up
Top Glove spent about half its RM1.87b profit for FY20 on share buybacks since September,20/11/2020,Up
EVENING 5: Five things you need to know today,19/11/2020,Up
"Profit-taking sends KLCI to intraday low, Bursa volume slips below 10b securities",19/11/2020,Up
Dissecting Mah Sing’s rubber glove ambition,19/11/2020,Up
Tri-Mode expects new hub to spur revenue growth in 2021,19/11/2020,Up
RHB says vaccine deployment could generate demand for up to 18 billion pieces of gloves a year,19/11/2020,Up
Aspen raises S$23.8m for glove-making venture upon placement of shares,19/11/2020,Up
KLCI loses 1.1% as regional markets track Wall Street selloff,19/11/2020,Up
"Top Glove mops up more of own shares for seventh consecutive day, spends another RM69.94m",18/11/2020,Down
KLCI drops 0.33% on profit taking as vaccine rally falters,18/11/2020,Down
"After the blue chip rush, how attractive are the top 100 stocks on Bursa?",18/11/2020,Down
股跌汇升 美债收益率挫伤美元,18/11/2020,Down
"KLCI down, ringgit surges as US govt bond yields hurt US dollar",18/11/2020,Down
银河-联昌：EMCO对顶级手套的预测带来负面影响,18/11/2020,Down
"About a quarter of Top Glove’s workforce under EMCO, CGS-CIMB sees minimal earnings impact",18/11/2020,Down
Post-Budget 2021: Long on goodies and short on grit,18/11/2020,Down
"Top Glove mops up its own shares for sixth straight day, with another RM69.9m spent",17/11/2020,Up
"Batu Kawan, CCM, AirAsia, PetDag, MISC, FGV, Unisem, TNB, IWCity, K-One and AT Systemization",17/11/2020,Up
"Batu Kawan to buy 56.32% CCM stake from PNB and Amanahraya Trustee for RM292.79 million, MGO at RM3.10 per share",17/11/2020,Up
新冠肺炎：新增1210确诊 巴生谷518 沙巴499,17/11/2020,Up
疫苗利好消息提振市场情绪 马股升至1600点上方,17/11/2020,Up
"KLCI climbs above 1,600 level as positive vaccine news aids market sentiment",17/11/2020,Up
"Covid-19: Malaysia’s new cases climb to 1,210 today, 518 cases in Klang Valley and 499 in Sabah",17/11/2020,Up
顶级手套澄清 EMCO仅影响5700员工非1万3190人,17/11/2020,Up
"Top Glove says EMCO affects only 5,700 workers or 27% of workforce, not 13,190 as initially reported",17/11/2020,Up
"Insider Moves: Caely Holdings Bhd, G3 Global Bhd, SCH Group Bhd, Top Glove Corp Bhd, Press Metal Aluminium Holdings Bhd, IGB Bhd",17/11/2020,Up
Top Glove's share price falls as EMCO starts in Klang foreign workers' dormitories,17/11/2020,Up
巴生外籍员工宿舍启动EMCO 顶级手套股价下挫,17/11/2020,Up
Is there still upside potential as the craze for glove makers fades?,17/11/2020,Up
Investors seen swapping pandemic plays for recovery proxies,17/11/2020,Up
"MMAG, Dialog, Top Glove, Lii Hen, MSM, IOI, KKB, Sapura, FGV, Yi-Lai and Revenue",17/11/2020,Up
Top Glove spends another RM69.93 million on share buy back,16/11/2020,Down
逢低买入蓝筹股 马股扬0.63%,16/11/2020,Down
EVENING 5: Five things you need to know today,16/11/2020,Down
Top Glove seeks clarity over EMCO at workers' dorm in Klang,16/11/2020,Down
员工宿舍EMCO 顶级手套收低7.46%,16/11/2020,Down
KLCI up 0.63% on bargain hunting for blue chips but glove stocks down,16/11/2020,Down
"Top Glove closes 7.46% lower as 13,190 workers put under EMCO",16/11/2020,Down
防长：顶级手套巴生员工宿舍从11月17日至30日EMCO,16/11/2020,Down
新冠疫苗进展打压手套股的投资情绪,16/11/2020,Down
Covid-19 vaccine dampens sentiment on glove counters in morning trade,16/11/2020,Down
"RHB requires collateral for purchase of shares in GETS Global, Vivocom — sources",16/11/2020,Down
EVENING 5: Top Glove workers’ dorms in Klang under EMCO,16/11/2020,Down
GETS Global surges to fresh peak despite being slapped with UMA three times,16/11/2020,Down
AT Systematization weekly trading volume breaches 10 billion shares,14/11/2020,#N/A
"Top Glove, Tune Protect, Gets Global, S P Setia, Kumpulan Fima, Kumpulan Powernet and CCM",13/11/2020,Down
Top Glove spent RM634.5 million on share buyback since September,13/11/2020,Down
投资者轮流炒作股项 马股小幅收低,13/11/2020,Down
KLCI ends on tepid note amid rotational play,13/11/2020,Down
"FBM KLCI opens lower as investors eye GDP, CPO data",13/11/2020,Down
