original,Headline,date,Price movement
"FBM KLCI closes higher on better-than-expected November exports data, US fiscal stimulus","FBM KLCI closes higher on better-than-expected November exports data, US fiscal stimulus",28/12/2020,Down
KLCI pares gains as index-linked glovemakers retreat on vaccine rollout,KLCI pares gains as index-linked glovemakers retreat on vaccine rollout,28/12/2020,Down
Kenanga cuts Top Glove target price to RM8.50 on ESG concerns,Kenanga cuts Top Glove target price to RM8.50 on ESG concerns,28/12/2020,Down
Glove stocks in the red on EU vaccine roll-out,Glove stocks in the red on EU vaccine roll-out,28/12/2020,Down
KLCI rises 0.67% in line with regional markets as Trump said to have signed aid bill,KLCI rises 0.67% in line with regional markets as Trump said to have signed aid bill,28/12/2020,Down
"Supermax, Yinson, MTD ACPI, TM, KTG, Komarkcorp, WCT, Johan, Wegmans, Lambo, Cymao","Supermax, Yinson, MTD ACPI, TM, KTG, Komarkcorp, WCT, Johan, Wegmans, Lambo, Cymao",24/12/2020,Down
KLCI closes lower as investors take profit ahead of extended weekend,KLCI closes lower as investors take profit ahead of extended weekend,24/12/2020,Down
"Supermax is KLCI's top percentage gainer year-to-date, followed by Top Glove","Supermax is KLCI's top percentage gainer year-to-date, followed by Top Glove",24/12/2020,Down
EVENING 5: Five things you need to know today,EVENING 5: Five things you need to know today,23/12/2020,Down
Bursa Malaysia higher at midday as sentiment turns positive,Bursa Malaysia higher at midday as sentiment turns positive,23/12/2020,Down
"KLCI drops 0.97% on Covid-19 fears, continued profit taking","KLCI drops 0.97% on Covid-19 fears, continued profit taking",22/12/2020,Up
Jiankun to invest RM50m in nitrile rubber production venture,Jiankun to invest RM50m in nitrile rubber production venture,22/12/2020,Up
ESG concerns take some shine off Top Glove,ESG concerns take some shine off Top Glove,22/12/2020,Up
Analysts mixed over Supermax’s venture into US,Analysts mixed over Supermax’s venture into US,22/12/2020,Up
More Covid-19 infections detected on factory floors,More Covid-19 infections detected on factory floors,22/12/2020,Up
"Mah Sing, Panasonic, Bintai Kinden, KAB, Puncak Niaga, Greatech, RHB, Yi-lai, Supermax, Karex, ATA IMS, Fintec Global, Aeon Credit, Gamuda, Versatile Creative and Deleum","Mah Sing, Panasonic, Bintai Kinden, KAB, Puncak Niaga, Greatech, RHB, Yi-lai, Supermax, Karex, ATA IMS, Fintec Global, Aeon Credit, Gamuda, Versatile Creative and Deleum",22/12/2020,Up
"CCM, NWP, Pecca, Reservoir Link, Bermaz Auto, Pegasus Heights, Hai-O, PCCS, Gas Malaysia, PLS Plantation, Fintec, NetX, Puncak Niaga and NTPM","CCM, NWP, Pecca, Reservoir Link, Bermaz Auto, Pegasus Heights, Hai-O, PCCS, Gas Malaysia, PLS Plantation, Fintec, NetX, Puncak Niaga and NTPM",19/12/2020,#N/A
EVENING 5: Five things you need to know today,EVENING 5: Five things you need to know today,18/12/2020,Down
"External auditor of DGB Asia, SMTrack, Inix resigns on same day","External auditor of DGB Asia, SMTrack, Inix resigns on same day",18/12/2020,Down
PublicInvest Research downgrades Top Glove to 'neutral' on ESG concerns,PublicInvest Research downgrades Top Glove to 'neutral' on ESG concerns,18/12/2020,Down
"Growing bullishness among retail investors as net buy flows rose 72% week-on-week in Dec 7-11 — highest since March, says CGS-CIMB","Growing bullishness among retail investors as net buy flows rose 72% week-on-week in Dec 7-11 — highest since March, says CGS-CIMB",17/12/2020,Down
Cover Story: ESG becoming mainstream,Cover Story: ESG becoming mainstream,17/12/2020,Down
Cover Story: Time to fix Malaysia’s foreign worker issues,Cover Story: Time to fix Malaysia’s foreign worker issues,17/12/2020,Down
CGS-CIMB: Sectors to watch out for come 2021,CGS-CIMB: Sectors to watch out for come 2021,17/12/2020,Down
Mah Sing rises in brisk morning trade on news of possible HK listing of manufacturing arm,Mah Sing rises in brisk morning trade on news of possible HK listing of manufacturing arm,17/12/2020,Down
"Komarkcorp, Kossan Rubber, Supermax, Ocean Vantage, Konsortium Transnasional, G Capital, Lion Industries, Daibochi, Mah Sing and OKA Corp","Komarkcorp, Kossan Rubber, Supermax, Ocean Vantage, Konsortium Transnasional, G Capital, Lion Industries, Daibochi, Mah Sing and OKA Corp",17/12/2020,Down
Covid-19: MoH identifies eight new clusters — three in KL and one in Selangor — with 182 infected,Covid-19: MoH identifies eight new clusters — three in KL and one in Selangor — with 182 infected,16/12/2020,Down
EVENING 5: Five things you need to know today,EVENING 5: Five things you need to know today,16/12/2020,Down
"FBM KLCI rides on overnight Wall Street gains, December window dressing","FBM KLCI rides on overnight Wall Street gains, December window dressing",16/12/2020,Down
"Covid-19: Malaysia confirms 1,295 new cases, Selangor tops list with most infections","Covid-19: Malaysia confirms 1,295 new cases, Selangor tops list with most infections",16/12/2020,Down
Supermax founder WhatsApp-ed these emojis ahead of glove maker’s first KLCI trade,Supermax founder WhatsApp-ed these emojis ahead of glove maker’s first KLCI trade,16/12/2020,Down
"Kossan says 427 employees tested positive for Covid-19, impacting less than 2% of bottom line","Kossan says 427 employees tested positive for Covid-19, impacting less than 2% of bottom line",16/12/2020,Down
Riverstone to reap short-term benefits from pandemic without neglecting long-term growth,Riverstone to reap short-term benefits from pandemic without neglecting long-term growth,16/12/2020,Down
Malaysian stocks extend gains on budget approval; Asia FX await Fed,Malaysian stocks extend gains on budget approval; Asia FX await Fed,16/12/2020,Down
"AmInvestment Bank sees KLCI hitting 1,770 points at end-2021","AmInvestment Bank sees KLCI hitting 1,770 points at end-2021",16/12/2020,Down
Frankly Speaking: Timely retail boost,Frankly Speaking: Timely retail boost,16/12/2020,Down
"TA Enterprise, Widad, Top Glove, Guocoland, F&N, George Kent, United Malacca, Econpile, Deleum, Uzma and Apollo Food","TA Enterprise, Widad, Top Glove, Guocoland, F&N, George Kent, United Malacca, Econpile, Deleum, Uzma and Apollo Food",16/12/2020,Down
"Top Glove, its chairman and Tropicana mop up more shares, while EPF continues selling","Top Glove, its chairman and Tropicana mop up more shares, while EPF continues selling",15/12/2020,Up
"KLCI bucks regional trends, closes 0.68% higher after Budget 2021 passes final Dewan Rakyat vote","KLCI bucks regional trends, closes 0.68% higher after Budget 2021 passes final Dewan Rakyat vote",15/12/2020,Up
"Insider Moves: Bina Puri Holdings Bhd, Vortex Consolidated Bhd, Sealink International Bhd, Widad Group Bhd, Top Glove Corp Bhd, Iris Corp Bhd, GDB Holdings Bhd","Insider Moves: Bina Puri Holdings Bhd, Vortex Consolidated Bhd, Sealink International Bhd, Widad Group Bhd, Top Glove Corp Bhd, Iris Corp Bhd, GDB Holdings Bhd",15/12/2020,Up
Higher CPO prices seen as stock levels expected to fall further,Higher CPO prices seen as stock levels expected to fall further,15/12/2020,Up
Glove stocks recoup some losses after yesterday's selldown,Glove stocks recoup some losses after yesterday's selldown,15/12/2020,Up
"Sentiment on glove makers take a U-turn amid factory infections, sector downgrade and vaccine roll-out","Sentiment on glove makers take a U-turn amid factory infections, sector downgrade and vaccine roll-out",15/12/2020,Up
"AAX, RHB Bank, Deleum, Hartalega, Top Glove, Luxchem, Ivory Properties, Ta Win and Bina Darulaman","AAX, RHB Bank, Deleum, Hartalega, Top Glove, Luxchem, Ivory Properties, Ta Win and Bina Darulaman",15/12/2020,Up
Top Glove resumes buyback of own shares today,Top Glove resumes buyback of own shares today,15/12/2020,Up
Top Glove's executive director and EPF trim their stakes further,Top Glove's executive director and EPF trim their stakes further,14/12/2020,Up
"Malaysia reports 1,371 new Covid-19 cases, including 532 in Selangor","Malaysia reports 1,371 new Covid-19 cases, including 532 in Selangor",14/12/2020,Up
EVENING 5: Five things you need to know today,EVENING 5: Five things you need to know today,14/12/2020,Up
KLCI snaps five-day gaining spree amid political concerns,KLCI snaps five-day gaining spree amid political concerns,14/12/2020,Up
"Hartalega says 35 of its 8,772 employees tested positive for Covid-19","Hartalega says 35 of its 8,772 employees tested positive for Covid-19",14/12/2020,Up
"After a bad patch, more hits than misses in 3Q earnings","After a bad patch, more hits than misses in 3Q earnings",14/12/2020,Up
"Foreign investors sold RM574.5m in equities last week, says MIDF Research","Foreign investors sold RM574.5m in equities last week, says MIDF Research",14/12/2020,Up
Glove makers dominate list of top losers as vaccine roll-out begins,Glove makers dominate list of top losers as vaccine roll-out begins,14/12/2020,Up
"In rare media rebuke, Top Glove demands accurate reporting amid Covid-19 flare","In rare media rebuke, Top Glove demands accurate reporting amid Covid-19 flare",13/12/2020,#N/A
Here's what Top Glove has to say about sustaining its super profits,Here's what Top Glove has to say about sustaining its super profits,12/12/2020,#N/A
Highest returns to shareholders over three years: SUPER BIG CAP (ABOVE RM40 BILLION MARKET CAPITALISATION): Top Glove Corp Bhd - Analysts still positive on prospects despite vaccine development,Highest returns to shareholders over three years: SUPER BIG CAP (ABOVE RM40 BILLION MARKET CAPITALISATION): Top Glove Corp Bhd - Analysts still positive on prospects despite vaccine development,12/12/2020,#N/A
Recognising corporate excellence for the 11th year,Recognising corporate excellence for the 11th year,12/12/2020,#N/A
"JP Morgan pegs these glove makers’ fair value at up to half their market price, says supernormal cycle is over","JP Morgan pegs these glove makers’ fair value at up to half their market price, says supernormal cycle is over",12/12/2020,#N/A
KLCI closes higher as banking stocks rally amid vaccine-fuelled optimism,KLCI closes higher as banking stocks rally amid vaccine-fuelled optimism,11/12/2020,Down
Reprieve for stocks as Covid-19 vaccines spur recovery bets,Reprieve for stocks as Covid-19 vaccines spur recovery bets,11/12/2020,Down
"Cymao, AirAsia, Bermaz Auto, Poh Kong, BIMB, Top Glove, UMW, KUB, BLand and 7-Eleven","Cymao, AirAsia, Bermaz Auto, Poh Kong, BIMB, Top Glove, UMW, KUB, BLand and 7-Eleven",11/12/2020,Down
Berjaya Land spends RM11m to mop up 7-Eleven shares,Berjaya Land spends RM11m to mop up 7-Eleven shares,10/12/2020,Down
Top Glove chairman’s turn to buy company shares,Top Glove chairman’s turn to buy company shares,10/12/2020,Down
EVENING 5: Five things you need to know today,EVENING 5: Five things you need to know today,10/12/2020,Down
"Covid-19: Malaysia hits new record high with 2,234 cases, with 1,428 from Selangor","Covid-19: Malaysia hits new record high with 2,234 cases, with 1,428 from Selangor",10/12/2020,Down
FBM KLCI posts third straight day of gains,FBM KLCI posts third straight day of gains,10/12/2020,Down
ESG issues weigh on Top Glove’s valuations,ESG issues weigh on Top Glove’s valuations,10/12/2020,Down
Cover Story: What’s next for Budget 2021 after being passed at the policy stage?,Cover Story: What’s next for Budget 2021 after being passed at the policy stage?,10/12/2020,Down
Analysts raise Top Glove earnings forecasts but maintain TPs,Analysts raise Top Glove earnings forecasts but maintain TPs,10/12/2020,Down
Top Glove makes the highest quarterly profit among Malaysia's top 10 companies,Top Glove makes the highest quarterly profit among Malaysia's top 10 companies,10/12/2020,Down
Top Glove: Average glove prices to be 30% higher in 2Q,Top Glove: Average glove prices to be 30% higher in 2Q,10/12/2020,Down
"TH Plantations, AirAsia, MRCB, Top Glove, KPower, MyEG, Public Bank, G Capital, Cymao and AWC","TH Plantations, AirAsia, MRCB, Top Glove, KPower, MyEG, Public Bank, G Capital, Cymao and AWC",09/12/2020,Up
EVENING 5: Five things you need to know today,EVENING 5: Five things you need to know today,09/12/2020,Up
Top Glove expects Klang factories to be fully operational in next two to three weeks,Top Glove expects Klang factories to be fully operational in next two to three weeks,09/12/2020,Up
Public Bank leads charge among KLCI counters,Public Bank leads charge among KLCI counters,09/12/2020,Up
Top Glove shares fail to rise despite record quarterly earnings,Top Glove shares fail to rise despite record quarterly earnings,09/12/2020,Up
"Top Glove 1Q net profit surges to RM2.38b, declares 16.5 sen dividend","Top Glove 1Q net profit surges to RM2.38b, declares 16.5 sen dividend",09/12/2020,Up
EVENING 5: Another bumper quarter for Top Glove,EVENING 5: Another bumper quarter for Top Glove,09/12/2020,Up
Bursa Malaysia higher in early trade,Bursa Malaysia higher in early trade,09/12/2020,Up
EPF continues trimming stake in Top Glove,EPF continues trimming stake in Top Glove,08/12/2020,Down
FBM KLCI finishes near 18-month high on greater interest in rubber glove stocks,FBM KLCI finishes near 18-month high on greater interest in rubber glove stocks,08/12/2020,Down
"KLCI trails Healthcare Index rise as Covid-19 spurs glove, pharmaceutical share buy","KLCI trails Healthcare Index rise as Covid-19 spurs glove, pharmaceutical share buy",08/12/2020,Down
"Rubber glove counters back in vogue, among top gainers in morning trade","Rubber glove counters back in vogue, among top gainers in morning trade",08/12/2020,Down
Inix falls 13% after new chairman resigned five days into the job,Inix falls 13% after new chairman resigned five days into the job,08/12/2020,Down
Top Glove's next record-breaking quarterly profit expected to surge past RM2b,Top Glove's next record-breaking quarterly profit expected to surge past RM2b,08/12/2020,Down
Supermax rebounds as investors weigh KLCI inclusion news,Supermax rebounds as investors weigh KLCI inclusion news,08/12/2020,Down
Tropicana director resigns while Bursa queries group about Top Glove share buy,Tropicana director resigns while Bursa queries group about Top Glove share buy,07/12/2020,Up
"EPF disposes of another 7.15m shares in Top Glove, reducing stake to 5.63%","EPF disposes of another 7.15m shares in Top Glove, reducing stake to 5.63%",07/12/2020,Up
Rakuten recommends these stocks for 2021,Rakuten recommends these stocks for 2021,07/12/2020,Up
Covid-19 cuts Top Glove both ways,Covid-19 cuts Top Glove both ways,07/12/2020,Up
"The Week Ahead: Partial lockdown extension in focus, a quiet week for data","The Week Ahead: Partial lockdown extension in focus, a quiet week for data",07/12/2020,Up
Seeking opportunities in the recovery theme,Seeking opportunities in the recovery theme,07/12/2020,Up
Frankly Speaking: Timely or dicey?,Frankly Speaking: Timely or dicey?,07/12/2020,Up
Frankly Speaking: Is the party at Inix over?,Frankly Speaking: Is the party at Inix over?,07/12/2020,Up
EDGE WEEKLY: ESG becoming mainstream,EDGE WEEKLY: ESG becoming mainstream,07/12/2020,Up
BAT and crude oil refiners top this week’s gainers list,BAT and crude oil refiners top this week’s gainers list,05/12/2020,#N/A
ESG becoming mainstream,ESG becoming mainstream,05/12/2020,#N/A
"Gamuda, Genting Malaysia, MyEG, Widad, Top Glove and Yong Tai","Gamuda, Genting Malaysia, MyEG, Widad, Top Glove and Yong Tai",04/12/2020,Down
Covid-19: Eight new clusters confirmed with 104 total infections while four ended,Covid-19: Eight new clusters confirmed with 104 total infections while four ended,04/12/2020,Down
EVENING 5: Five things you need to know today,EVENING 5: Five things you need to know today,04/12/2020,Down
"Top Glove-linked Teratai cluster in Klang reports 62 new cases, pushing tally to 5,156","Top Glove-linked Teratai cluster in Klang reports 62 new cases, pushing tally to 5,156",04/12/2020,Down
"KLCI eases from 16-month high amid profit-taking, selldown on glove stocks","KLCI eases from 16-month high amid profit-taking, selldown on glove stocks",04/12/2020,Down
"EPF continues selling Top Glove shares, trimming stake to 5.72%","EPF continues selling Top Glove shares, trimming stake to 5.72%",04/12/2020,Down
"Covid-19: Malaysia logs 1,141 new cases, half from Klang Valley; total now exceeds 70,000","Covid-19: Malaysia logs 1,141 new cases, half from Klang Valley; total now exceeds 70,000",04/12/2020,Down
Glove sector poised to be second largest in KLCI’s weighting with inclusion of Supermax,Glove sector poised to be second largest in KLCI’s weighting with inclusion of Supermax,04/12/2020,Down
Tropicana’s purchase of Top Glove shares raises eyebrows,Tropicana’s purchase of Top Glove shares raises eyebrows,04/12/2020,Down
"Menang Corp, JF Tech, Serba Dinamik, Ranhill, Supermax, UWC, Astro, Tropicana, Top Glove and SCIB","Menang Corp, JF Tech, Serba Dinamik, Ranhill, Supermax, UWC, Astro, Tropicana, Top Glove and SCIB",03/12/2020,Down
EPF continues selling spree in Top Glove shares,EPF continues selling spree in Top Glove shares,03/12/2020,Down
Tropicana buys RM78.47m worth of Top Glove shares,Tropicana buys RM78.47m worth of Top Glove shares,03/12/2020,Down
"Top Glove, Hartalega offer fillip to Bursa after S&P 500's record high","Top Glove, Hartalega offer fillip to Bursa after S&P 500's record high",03/12/2020,Down
CMCO likely to dent corporates' 4Q earnings — HLIB Research,CMCO likely to dent corporates' 4Q earnings — HLIB Research,03/12/2020,Down
More than half of top 100 Malaysian companies see higher 3Q profits than last year,More than half of top 100 Malaysian companies see higher 3Q profits than last year,03/12/2020,Down
"Sunsuria, Yi-Lai, Ranhill, Bioalpha, Chin Hin Group Property, S P Setia, AWC, UEM Sunrise, EcoWorld, QL Resources, Boilermech, Top Glove, AirAsia X","Sunsuria, Yi-Lai, Ranhill, Bioalpha, Chin Hin Group Property, S P Setia, AWC, UEM Sunrise, EcoWorld, QL Resources, Boilermech, Top Glove, AirAsia X",03/12/2020,Down
Top Glove spent another RM70m to buy back own shares today,Top Glove spent another RM70m to buy back own shares today,02/12/2020,Up
Risk of community infection rises at Top Glove-linked Teratai cluster in Klang — 27 new cases today,Risk of community infection rises at Top Glove-linked Teratai cluster in Klang — 27 new cases today,02/12/2020,Up
Iconic Worldwide to prove doubters wrong with glove move,Iconic Worldwide to prove doubters wrong with glove move,02/12/2020,Up
"Focus shifts to recovery stocks, analysts mixed on glove counters","Focus shifts to recovery stocks, analysts mixed on glove counters",02/12/2020,Up
"Nitrile latex could hit all-time high this month, raising glove production costs by 70% q-o-q — KAF Research","Nitrile latex could hit all-time high this month, raising glove production costs by 70% q-o-q — KAF Research",02/12/2020,Up
"3Q corporate earnings came in better than expected, says MIDF Research","3Q corporate earnings came in better than expected, says MIDF Research",02/12/2020,Up
Top Glove dips 3.2% as govt investigates workers' housing,Top Glove dips 3.2% as govt investigates workers' housing,02/12/2020,Up
UG Healthcare to conduct Covid-19 testing on employees as precautionary measure,UG Healthcare to conduct Covid-19 testing on employees as precautionary measure,01/12/2020,Down
"Covid-19: Top Glove-linked Teratai cluster reports 778 new cases, pushing tally to 5,056","Covid-19: Top Glove-linked Teratai cluster reports 778 new cases, pushing tally to 5,056",01/12/2020,Down
Vizione to inject RM30m in capex to boost glove business capacity,Vizione to inject RM30m in capex to boost glove business capacity,01/12/2020,Down
EVENING 5: Five things you need to know today,EVENING 5: Five things you need to know today,01/12/2020,Down
"Over half of new 1,472 Covid-19 cases from Top Glove-linked Teratai cluster; three more deaths reported","Over half of new 1,472 Covid-19 cases from Top Glove-linked Teratai cluster; three more deaths reported",01/12/2020,Down
MoHR opens 19 investigation papers against companies in Top Glove group after Covid-19 outbreak among workers,MoHR opens 19 investigation papers against companies in Top Glove group after Covid-19 outbreak among workers,01/12/2020,Down
EVENING 5: Investigation papers opened against Top Glove,EVENING 5: Investigation papers opened against Top Glove,01/12/2020,Down
Frankly Speaking: Time to wean ourselves off cheap foreign labour,Frankly Speaking: Time to wean ourselves off cheap foreign labour,01/12/2020,Down
"Fintec Global 2Q net profit swells to RM720.5 million, how was it achieved?","Fintec Global 2Q net profit swells to RM720.5 million, how was it achieved?",01/12/2020,Down
EMCO on Top Glove worker dormitories in Klang extended for two weeks to Dec 14,EMCO on Top Glove worker dormitories in Klang extended for two weeks to Dec 14,30/11/2020,Down
"Top Glove-linked Teratai cluster reports 18 new cases today, with total now at 4,278","Top Glove-linked Teratai cluster reports 18 new cases today, with total now at 4,278",30/11/2020,Down
"Malaysia's new Covid-19 cases stay above 1,000 for fourth straight day, with 402 from Selangor","Malaysia's new Covid-19 cases stay above 1,000 for fourth straight day, with 402 from Selangor",30/11/2020,Down
KLCI finishes down 44.88 points after final-hour dive,KLCI finishes down 44.88 points after final-hour dive,30/11/2020,Down
Gets Global receives takeover offer at less than one quarter of market price from major shareholders,Gets Global receives takeover offer at less than one quarter of market price from major shareholders,30/11/2020,Down
Time right for share buybacks despite economic downturn,Time right for share buybacks despite economic downturn,30/11/2020,Down
Top Glove reaffirms commitment to working with authorities to resolve workers' housing issue,Top Glove reaffirms commitment to working with authorities to resolve workers' housing issue,30/11/2020,Down
These penny stocks put investors on roller-coaster rides,These penny stocks put investors on roller-coaster rides,28/11/2020,#N/A
Top Glove: Exercise to improve workers’ living conditions to be completed by December,Top Glove: Exercise to improve workers’ living conditions to be completed by December,28/11/2020,#N/A
Top Glove spends RM21m on 14th day of share buyback,Top Glove spends RM21m on 14th day of share buyback,27/11/2020,Up
Top Glove spends lower amount on 13th day of share buyback,Top Glove spends lower amount on 13th day of share buyback,26/11/2020,Down
Top Glove-linked Teratai cluster reports 30 new cases,Top Glove-linked Teratai cluster reports 30 new cases,26/11/2020,Down
"Covid-19: 935 new cases in Malaysia; total cases exceed 60,000","Covid-19: 935 new cases in Malaysia; total cases exceed 60,000",26/11/2020,Down
KLCI up 14.53 points to end at intraday high after Parliament approves Budget 2021,KLCI up 14.53 points to end at intraday high after Parliament approves Budget 2021,26/11/2020,Down
"KLCI crosses 1600 points, with eyes on Budget 2021 vote","KLCI crosses 1600 points, with eyes on Budget 2021 vote",26/11/2020,Down
"KLCI crosses 1,600-point threshold as select blue chips lift","KLCI crosses 1,600-point threshold as select blue chips lift",26/11/2020,Down
KLCI reverses earlier loss as glove makers lift,KLCI reverses earlier loss as glove makers lift,26/11/2020,Down
Top Glove rises after chairman says FY21 dividend yield estimated to be over 6%,Top Glove rises after chairman says FY21 dividend yield estimated to be over 6%,26/11/2020,Down
Top Glove spends RM50m on 12th day of share buyback,Top Glove spends RM50m on 12th day of share buyback,26/11/2020,Down
Evening 5: Five things you need to know today,Evening 5: Five things you need to know today,25/11/2020,Up
"No signs of Top Glove-linked Teratai cluster spreading infection to nearby community, says Health D-G","No signs of Top Glove-linked Teratai cluster spreading infection to nearby community, says Health D-G",25/11/2020,Up
Top Glove expects EMCO on its workers' dormitories in Klang to be extended by a week,Top Glove expects EMCO on its workers' dormitories in Klang to be extended by a week,25/11/2020,Up
"Dogged by selling pressure, Top Glove again settles in the red","Dogged by selling pressure, Top Glove again settles in the red",25/11/2020,Up
"Bullish sentiment on Wall Street spills over to Bursa, KLCI climbs 1.22%","Bullish sentiment on Wall Street spills over to Bursa, KLCI climbs 1.22%",25/11/2020,Up
"Malaysia’s new Covid-19 cases drop to 970, recoveries rise to record high of 2,348","Malaysia’s new Covid-19 cases drop to 970, recoveries rise to record high of 2,348",25/11/2020,Up
Top Glove estimates dividend yield to be more than 6% in FY21 — Chairman,Top Glove estimates dividend yield to be more than 6% in FY21 — Chairman,25/11/2020,Up
Top Glove down but selling eases after company says 3% of revenue to be impacted by manufacturing stoppage,Top Glove down but selling eases after company says 3% of revenue to be impacted by manufacturing stoppage,25/11/2020,Up
"KLCI rises 0.98%, eyes 1,600-point threshold on global equity rally","KLCI rises 0.98%, eyes 1,600-point threshold on global equity rally",25/11/2020,Up
"KLCI rises 0.53%, comes out of torpor with global equity rally","KLCI rises 0.53%, comes out of torpor with global equity rally",25/11/2020,Up
Top Glove's share buyback tops RM1b as over RM12b market cap wiped off amid rise in Covid-19 cases among workers,Top Glove's share buyback tops RM1b as over RM12b market cap wiped off amid rise in Covid-19 cases among workers,25/11/2020,Up
"Berjaya Land, Inari, Hong Leong Industries, AirAsia, ARB, Malakoff, UEM Sunrise, STMKB, Tan Chong Motor, Leong Hup, MyEG, Wah Seong, Omesti and Top Glove","Berjaya Land, Inari, Hong Leong Industries, AirAsia, ARB, Malakoff, UEM Sunrise, STMKB, Tan Chong Motor, Leong Hup, MyEG, Wah Seong, Omesti and Top Glove",24/11/2020,Down
Top Glove buys back more shares; total amount spent since September rises to RM1.08b,Top Glove buys back more shares; total amount spent since September rises to RM1.08b,24/11/2020,Down
Covid-19: 119 clusters of infection originate from workplaces,Covid-19: 119 clusters of infection originate from workplaces,24/11/2020,Down
"Only 3% annual revenue lost from closure of 28 factories, says Top Glove","Only 3% annual revenue lost from closure of 28 factories, says Top Glove",24/11/2020,Down
"Covid-19: 1,511 new cases at Teratai cluster originate from Top Glove’s dorms, total swells to 4,036","Covid-19: 1,511 new cases at Teratai cluster originate from Top Glove’s dorms, total swells to 4,036",24/11/2020,Down
"Malaysia hits new high of 2,188 Covid-19 cases, with 74% from Selangor","Malaysia hits new high of 2,188 Covid-19 cases, with 74% from Selangor",24/11/2020,Down
Ex-CEO of glove maker WRP charged with CBT,Ex-CEO of glove maker WRP charged with CBT,24/11/2020,Down
Top Glove lost over RM12b in market cap since start of November,Top Glove lost over RM12b in market cap since start of November,24/11/2020,Down
"KLCI falls 0.61% on profit-taking consolidation, Budget 2021 voting jitters","KLCI falls 0.61% on profit-taking consolidation, Budget 2021 voting jitters",24/11/2020,Down
Top Glove falls as much as 7.48% on temporary disruption to 28 factories in Klang,Top Glove falls as much as 7.48% on temporary disruption to 28 factories in Klang,24/11/2020,Down
CGS-CIMB: Investors continue to switch to Covid-19 recovery theme plays,CGS-CIMB: Investors continue to switch to Covid-19 recovery theme plays,24/11/2020,Down
KLCI opens lower as Top Glove drags on virus-hit factory closure,KLCI opens lower as Top Glove drags on virus-hit factory closure,24/11/2020,Down
"Karex, Tiong Nam, Boustead Plantations, Sime Darby Plantation, Lotus KFM, MESB, Guan Chong, Dayang Enterprise, MRCB, Serba Dinamik, Hextar, Top Glove, TA Enterprise, TA Global, Kanger, Samaiden, Mesiniaga and Maxis","Karex, Tiong Nam, Boustead Plantations, Sime Darby Plantation, Lotus KFM, MESB, Guan Chong, Dayang Enterprise, MRCB, Serba Dinamik, Hextar, Top Glove, TA Enterprise, TA Global, Kanger, Samaiden, Mesiniaga and Maxis",24/11/2020,Down
Top Glove has spent over RM1b on share buy backs since September,Top Glove has spent over RM1b on share buy backs since September,23/11/2020,Down
Top Glove confirms temporary shutdown of 28 factories in Meru due to upsurge in Covid-19 cases,Top Glove confirms temporary shutdown of 28 factories in Meru due to upsurge in Covid-19 cases,23/11/2020,Down
EVENING 5: Five things you need to know today,EVENING 5: Five things you need to know today,23/11/2020,Down
"Covid-19: Four new clusters found with 159 total infections, while three end","Covid-19: Four new clusters found with 159 total infections, while three end",23/11/2020,Down
"Covid-19: Teratai cluster linked to Top Glove workers has positive rate of 43.8%, 1,067 new confirmed cases today","Covid-19: Teratai cluster linked to Top Glove workers has positive rate of 43.8%, 1,067 new confirmed cases today",23/11/2020,Down
